Date,Close/Last,Volume,Open,High,Low
10/30/2019,$188.25 ,28734560,$189.56 ,$190.45 ,$185.98 
10/29/2019,$189.31 ,13574870,$191.69 ,$192.53 ,$188.47 
10/28/2019,$189.40 ,13657870,$187.20 ,$189.53 ,$185.08 
10/25/2019,$187.89 ,8061240,$185.83 ,$189 ,$185.09 
10/24/2019,$186.38 ,11505410,$184.62 ,$186.73 ,$182.80 
10/23/2019,$186.15 ,12370820,$182.01 ,$186.38 ,$182 
10/22/2019,$182.34 ,19854190,$190 ,$190.65 ,$181.50 
10/21/2019,$189.76 ,8580744,$187.04 ,$189.91 ,$186.75 
10/18/2019,$185.85 ,16882860,$190.23 ,$191.49 ,$183.92 
10/17/2019,$190.39 ,9761548,$190.30 ,$190.84 ,$188.77 
10/16/2019,$189.55 ,10560340,$188.32 ,$189.70 ,$186.90 
10/15/2019,$188.89 ,15143120,$183.80 ,$190.38 ,$183.66 
10/14/2019,$183.28 ,7203665,$184.20 ,$184.62 ,$182.57 
10/11/2019,$184.19 ,14998750,$182.15 ,$186.49 ,$182.14 
10/10/2019,$180.03 ,8980978,$180.32 ,$181.61 ,$179.17 
10/9/2019,$179.85 ,7648874,$179.16 ,$180.72 ,$177.94 
10/8/2019,$177.75 ,10084900,$178.26 ,$180.37 ,$177.72 
10/7/2019,$179.68 ,9359793,$180 ,$181.18 ,$178.09 
10/4/2019,$180.45 ,10476400,$179.55 ,$180.98 ,$178.10 
10/3/2019,$179.38 ,16789320,$175.57 ,$179.84 ,$173.63 
10/2/2019,$174.60 ,16374150,$174.84 ,$176.53 ,$173.09 
10/1/2019,$175.81 ,17261560,$179.15 ,$179.84 ,$174.88 
9/30/2019,$178.08 ,11071430,$177.87 ,$178.67 ,$176.85 
9/27/2019,$177.10 ,14663580,$180.49 ,$180.76 ,$175.66 
9/26/2019,$180.11 ,16280690,$181.33 ,$181.40 ,$177.67 
9/25/2019,$182.80 ,18339960,$181.45 ,$183.42 ,$177.87 
9/24/2019,$181.28 ,18775670,$187.98 ,$188.04 ,$180.39 
9/23/2019,$186.82 ,14370090,$189.34 ,$190.10 ,$185.21 
9/20/2019,$189.93 ,20359880,$190.66 ,$193.10 ,$188.12 
9/19/2019,$190.14 ,10474690,$188.66 ,$191.10 ,$188.15 
9/18/2019,$188.14 ,9945798,$188.09 ,$189.08 ,$186.01 
9/17/2019,$188.08 ,9751570,$186.66 ,$188.32 ,$185.54 
9/16/2019,$186.22 ,8444844,$186.93 ,$187.79 ,$185.77 
9/13/2019,$187.19 ,11441120,$187.33 ,$187.97 ,$186.54 
9/12/2019,$187.47 ,11419780,$189.86 ,$190.93 ,$187.23 
9/11/2019,$188.49 ,11761660,$186.46 ,$189.44 ,$186.08 
9/10/2019,$186.17 ,15455870,$187.44 ,$188.10 ,$184.55 
9/9/2019,$188.76 ,14722400,$187.73 ,$188.98 ,$185.85 
9/6/2019,$187.49 ,15226820,$190.21 ,$190.21 ,$186.35 
9/5/2019,$190.90 ,13896620,$188.53 ,$191.36 ,$187.94 
9/4/2019,$187.14 ,11314570,$184.65 ,$187.75 ,$183.89 
9/3/2019,$182.39 ,9792187,$184 ,$185.67 ,$182.11 
8/30/2019,$185.67 ,10785720,$186.78 ,$186.80 ,$183.46 
8/29/2019,$185.57 ,10135030,$183.77 ,$186.08 ,$183.47 
8/28/2019,$181.76 ,9392060,$180.53 ,$181.95 ,$178.92 
8/27/2019,$181.30 ,14408950,$181.93 ,$184.04 ,$181.01 
8/26/2019,$180.36 ,8780477,$179.40 ,$180.50 ,$178.24 
8/23/2019,$177.75 ,17331220,$180.84 ,$183.13 ,$176.66 
8/22/2019,$182.04 ,10829510,$183.43 ,$184.11 ,$179.91 
8/21/2019,$183.55 ,8409548,$185 ,$185.90 ,$183.14 
8/20/2019,$183.81 ,10087590,$185.45 ,$186 ,$182.39 
8/19/2019,$186.17 ,9699661,$186.01 ,$187.50 ,$184.85 
8/16/2019,$183.70 ,12844830,$183.75 ,$185.10 ,$182.36 
8/15/2019,$182.59 ,13059640,$180.95 ,$183.20 ,$180.03 
8/14/2019,$179.71 ,18903720,$185.80 ,$185.99 ,$179.31 
8/13/2019,$188.45 ,13653320,$185.52 ,$191.38 ,$185.37 
8/12/2019,$185.37 ,10936280,$186.85 ,$187.59 ,$184.46 
8/9/2019,$187.85 ,11058810,$190 ,$190.98 ,$187.12 
8/8/2019,$190.16 ,14828920,$186.62 ,$190.34 ,$184.05 
8/7/2019,$185.15 ,15833200,$183.60 ,$186.37 ,$181.22 
8/6/2019,$184.51 ,18035690,$183.69 ,$185.79 ,$183.09 
8/5/2019,$181.73 ,23086660,$184.69 ,$185.67 ,$179.34 
8/2/2019,$189.02 ,15296980,$191.10 ,$192.62 ,$188.07 
8/1/2019,$192.73 ,17777010,$194.17 ,$198.47 ,$190.88 
7/31/2019,$194.23 ,14593540,$196.95 ,$198.76 ,$192.68 
7/30/2019,$197.04 ,11903560,$195.39 ,$198.71 ,$193.50 
7/29/2019,$195.94 ,16530800,$199 ,$199.63 ,$195.30 
7/26/2019,$199.75 ,24433990,$200.19 ,$202.88 ,$196.25 
7/25/2019,$200.71 ,39889870,$206.70 ,$208.66 ,$198.26 
7/24/2019,$204.66 ,32532540,$197.63 ,$204.81 ,$197.22 
7/23/2019,$202.36 ,14583680,$202.84 ,$204.24 ,$200.96 
7/22/2019,$202.32 ,13589020,$199.91 ,$202.57 ,$198.81 
7/19/2019,$198.36 ,12098260,$202.18 ,$202.33 ,$198.07 
7/18/2019,$200.78 ,11956550,$200.15 ,$202.47 ,$199.38 
7/17/2019,$201.80 ,12083710,$204.18 ,$204.36 ,$201.59 
7/16/2019,$203.84 ,12132720,$203.89 ,$205.47 ,$203.10 
7/15/2019,$203.91 ,16030340,$204.25 ,$205.33 ,$201.82 
7/12/2019,$204.87 ,15366270,$199.68 ,$205.30 ,$199.16 
7/11/2019,$201.23 ,13678460,$203.26 ,$203.80 ,$200.21 
7/10/2019,$202.73 ,20571700,$200 ,$202.96 ,$199.67 
7/9/2019,$199.21 ,14698610,$194.97 ,$199.46 ,$194.89 
7/8/2019,$195.76 ,9723858,$195.19 ,$196.68 ,$193.64 
7/5/2019,$196.40 ,11164110,$196.18 ,$197.07 ,$194.17 
7/3/2019,$197.20 ,10246120,$194.16 ,$197.40 ,$194.16 
7/2/2019,$195 ,9049979,$193 ,$195 ,$192.71 
7/1/2019,$193 ,14204690,$195.21 ,$195.28 ,$191.93 
6/28/2019,$193 ,16378880,$190.55 ,$193.20 ,$189.94 
6/27/2019,$189.50 ,11158980,$189.88 ,$189.95 ,$188.27 
6/26/2019,$187.66 ,12808600,$189.54 ,$190.76 ,$187.31 
6/25/2019,$188.84 ,16750310,$192.88 ,$193.14 ,$188.13 
6/24/2019,$192.60 ,15508960,$192.42 ,$193.98 ,$191.57 
6/21/2019,$191.14 ,22751160,$188.75 ,$192 ,$188.75 
6/20/2019,$189.53 ,14635740,$190.95 ,$191.16 ,$187.64 
6/19/2019,$187.48 ,21417090,$187 ,$188.10 ,$184.55 
6/18/2019,$188.47 ,37571350,$194 ,$194.53 ,$187.28 
6/17/2019,$189.01 ,29459880,$185.01 ,$189.50 ,$184.41 
6/14/2019,$181.33 ,16773690,$180.51 ,$181.84 ,$180 
6/13/2019,$177.47 ,12253570,$175.53 ,$178.03 ,$174.61 
6/12/2019,$175.04 ,17699810,$178.38 ,$179.27 ,$172.88 
6/11/2019,$178.10 ,15266640,$178.48 ,$179.98 ,$176.79 
6/10/2019,$174.82 ,14767920,$174.75 ,$177.86 ,$173.80 
6/7/2019,$173.35 ,16917340,$170.17 ,$173.87 ,$168.84 
6/6/2019,$168.33 ,12446350,$168.30 ,$169.70 ,$167.23 
6/5/2019,$168.17 ,19758320,$167.48 ,$168.72 ,$164.63 
6/4/2019,$167.50 ,46044260,$163.71 ,$168.28 ,$160.84 
